Forum.id|Person.id|eid_generated
274877906944|8796093022220|3015
343597383681|8796093022220|3016
343597383682|8796093022220|3017
343597383683|8796093022220|3018
68719476740|2199023255591|3019
137438953477|4398046511124|3020
137438953478|4398046511105|3021
274877906951|8796093022239|3022
274877906952|8796093022239|3023
274877906954|8796093022239|3024
274877906956|8796093022222|3025
274877906957|8796093022222|3026
343597383696|8796093022222|3027
343597383697|10995116277794|3028
19|48|3029
206158430228|48|3030
343597383701|48|3031
206158430230|48|3032
274877906967|48|3033
68719476760|48|3034
137438953497|48|3035
137438953498|48|3036
206158430235|48|3037
274877906972|48|3038
206158430238|6597069766681|3039
31|6|3040
137438953504|6|3041
137438953505|6|3042
274877906978|6|3043
206158430243|6|3044
36|6|3045
68719476773|6|3046
137438953510|6|3047
68719476775|6|3048
206158430248|6|3049
274877906985|6|3050
274877906986|6|3051
68719476779|2199023255589|3052
274877906988|8796093022235|3053
68719476781|2199023255555|3054
137438953518|4398046511109|3055
274877906991|8796093022232|3056
68719476785|2199023255574|3057
137438953522|4398046511113|3058
206158430259|6597069766672|3059
343597383732|10995116277793|3060
206158430262|6597069766692|3061
137438953527|4398046511146|3062
274877907002|4398046511146|3063
274877907003|4398046511146|3064
206158430268|4398046511146|3065
206158430269|4398046511146|3066
206158430270|6597069766701|3067
343597383743|10995116277806|3068
137438953536|4398046511133|3069
206158430273|4398046511133|3070
137438953538|4398046511133|3071
206158430275|4398046511133|3072
274877907012|4398046511133|3073
206158430277|4398046511133|3074
274877907014|4398046511133|3075
274877907015|4398046511133|3076
274877907016|8796093022248|3077
343597383754|8796093022248|3078
343597383755|8796093022248|3079
137438953548|4398046511112|3080
343597383760|10995116277795|3081
68719476817|2199023255565|3082
206158430290|6597069766674|3083
343597383763|6597069766674|3084
274877907029|6597069766674|3085
274877907030|6597069766674|3086
274877907031|6597069766674|3087
137438953560|4398046511123|3088
206158430297|4398046511123|3089
137438953562|4398046511123|3090
206158430299|4398046511123|3091
137438953564|4398046511123|3092
274877907037|4398046511123|3093
206158430302|4398046511123|3094
206158430303|4398046511123|3095
137438953568|4398046511147|3096
343597383777|4398046511147|3097
274877907042|4398046511147|3098
274877907043|4398046511147|3099
206158430308|4398046511147|3100
274877907045|4398046511147|3101
206158430310|4398046511147|3102
206158430311|6597069766667|3103
343597383784|6597069766667|3104
274877907050|6597069766667|3105
137438953580|4398046511136|3106
206158430317|6597069766656|3107
274877907054|8796093022215|3108
111|41|3109
137438953584|4398046511151|3110
206158430323|6597069766660|3111
206158430324|6597069766660|3112
343597383798|6597069766660|3113
343597383799|6597069766660|3114
121|10|3115
206158430330|10|3116
206158430333|10|3117
206158430334|10|3118
68719476863|10|3119
68719476864|10|3120
206158430337|10|3121
68719476866|10|3122
68719476867|10|3123
343597383812|10995116277809|3124
137438953606|4398046511127|3125
274877907079|4398046511127|3126
274877907080|4398046511127|3127
206158430345|4398046511127|3128
274877907082|4398046511127|3129
343597383819|4398046511127|3130
343597383820|4398046511127|3131
206158430349|4398046511127|3132
206158430350|4398046511127|3133
137438953615|4398046511106|3134
206158430352|4398046511106|3135
206158430354|4398046511106|3136
343597383828|4398046511106|3137
274877907093|4398046511106|3138
137438953622|4398046511106|3139
274877907095|8796093022252|3140
274877907096|8796093022252|3141
274877907098|8796093022252|3142
343597383835|8796093022252|3143
274877907100|8796093022238|3144
68719476895|2199023255580|3145
274877907104|8796093022246|3146
