Person.id|Organisation.id|eid_generated|classYear
8796093022220|2435|31802|2008
2199023255591|5985|31803|2006
4398046511105|2945|31804|2007
8796093022239|2832|31805|2001
8796093022222|4593|31806|2002
6597069766681|4673|31807|2005
6|2209|31808|2005
8796093022235|5804|31809|2007
2199023255555|5986|31810|2003
4398046511109|1953|31811|2009
2199023255574|4742|31812|2004
4398046511113|1785|31813|2004
6597069766672|5809|31814|2007
10995116277793|1596|31815|2002
6597069766692|3008|31816|2005
6597069766701|5236|31817|2008
4398046511133|2214|31818|2004
8796093022248|1856|31819|2007
4398046511112|1580|31820|2001
10995116277795|4929|31821|2009
6597069766674|6172|31822|2001
4398046511123|7953|31823|2006
4398046511147|3014|31824|2005
6597069766667|2211|31825|2002
4398046511136|5047|31826|2001
6597069766656|3011|31827|2005
8796093022215|2208|31828|2006
41|3010|31829|2004
4398046511151|6346|31830|2003
6597069766660|7936|31831|2007
10995116277809|3008|31832|2002
4398046511127|6797|31833|2009
4398046511106|4519|31834|2008
8796093022252|5987|31835|2006
8796093022246|5040|31836|2004
